key,value,definition
species,Celtis␣occidentalis,espècies	=	Celtis_occidentalis
floor:material,cement,pis: material	=	ciment
surface,cement,superfície	=	ciment
building:material,cement_block,material de construcció	=	bloc de ciment
historic,cemetery,històric	=	cementiri
seamark:landmark:category,cemetery,marca:punt de referència:categoria	=	cementiri
landmark,cemetery,punt de referència	=	cementiri
landuse,cemetery,ús del sòl	=	cementiri
memorial,cenotaph,monument	=	cenotafi
tomb,cenotaph,tomba	=	cenotafi
boundary,census,Límit	=	cens
operator:en,Central Japan Railway Company,operador:en	Central Japan ferrocarril Company
telecom,central_office,telecomunicacions	=	oficina central
building,central_office,tipus d'edifici	=	oficina central
operator:en,Central␣Japan␣Railway␣Company,operador:ca	=	Central_Japó_Ferrocarril_Empresa
healthcare,centre,cura de la salut	=	centre
education,centre,educació	=	centre
recycling_type,centre,tipus_de_reciclatge	=	centre
pump_mechanism,centrifugal,mecanisme de bomba	=	centrífug
addr:suburb,Centro,adreça:suburb Centre
shop,ceramics,botiga	=	ceràmica
building:floor,ceramics,edifici:pis	=	ceràmica
genus,Cerasus,gènere	=	Ceraso
species,Cerasus␣×␣yedoensis,operador:ref:FR:SIRET	=	Cerasus_×_yedoensis
genus,Cercis,gènere	=	cercis
species,Cercis␣siliquastrum,espècies	=	Cercis_siliquastrum
crop,cereal,cultiu	=	cereal
man_made,ceremonial_gate,porta_ceremonial_artificial
boundary_name:cs,Česko-německá státní hranice,nom_límit:cs Česko-německá státní hranice
seamark:notice:system,cevni,seamark:avís:sistema	=	cevni
roof:material,cgi,sostre: material	=	cgi
barrier,chain,barrera	=	cadena
seamark:mooring:category,chain,marca:amarre:categoria	=	cadena
fence_type,chain_link,cerca_tipus	=	baula de la cadena
amenity,chair,amenitat/servei	=	cadira
aerialway,chair_lift,via aèria	=	telecadira
building,chalet,tipus d'edifici	=	xalet
tourism,chalet,turisme	=	xalet
genus,Chamaecyparis,gènere	=	Chamaecyparis
species,Chamaecyparis␣lawsoniana,espècies	=	Chamaecyparis_lawsoniana
government,chamber,govern	=	càmera
office,chamber,oficina	=	càmera
megalith_type,chamber,tipus de megàlit	=	càmera
shop,chandler,botiga	=	veler
seamark:small_craft_facility:category,chandler,seamark:instal·lació per a embarcacions petites:categoria	=	veler
amenity,changing_room,amenitat/servei	=	vestuari
building,changing_rooms,tipus d'edifici	=	vestidors
shelter_type,changing_rooms,tipus de refugi	=	vestidors
seamark:beacon_lateral:category,channel_left,marca:balisa lateral:categoria	=	canal esquerre
seamark:buoy_lateral:category,channel_left,marca:boia lateral:categoria	=	canal esquerre
seamark:beacon_lateral:category,channel_left_bank,marca:balisa lateral:categoria	=	marge esquerre del canal
seamark:beacon_lateral:category,channel_right,marca:balisa lateral:categoria	=	canal dret
seamark:buoy_lateral:category,channel_right,marca:boia lateral:categoria	=	canal dret
seamark:beacon_lateral:category,channel_right_bank,marca:balisa lateral:categoria	=	marge dret del canal
seamark:buoy_lateral:category,channel_separation,marca:boia lateral:categoria	=	separació de canals
seamark:landmark:function,chapel,marca:punt de referència:funció	=	capella
building,chapel,tipus d'edifici	=	capella
source:addr,Chapel Hill Open Data,font:adreça Dades Obertes de Chapel Hill
product,charcoal,producte	=	carbó
historic,charcoal_pile,històric	=	pila_de_carbon_
man_made,charge_point,punt_de_càrrega_artificial
parking_space,charging,plaça d'aparcament	=	carregant
amenity,charging_station,amenitat/servei	=	Estació de càrrega
amenity,charging_station/Tesla_Motors,amenitat/servei	=	estació de càrrega/Tesla Motors
shop,charity,botiga	=	caritat
office,charity,oficina	=	caritat
barrier,chech_hedgehog,barrera	=	eriçó txetx
valve,check,vàlvula	=	controlar
waterway,check_dam,camí aquàtic	=	presa de control
amenity,checkpoint,amenitat/servei	=	control
seamark:type,checkpoint,marca de mar: tipus	=	control
military,checkpoint,militar	=	control
police,checkpoint,policia	=	control
craft,cheese,artesania	=	formatge
shop,cheese,botiga	=	formatge
utility,chemical,utilitat	=	químic
shop,chemist,botiga	=	químic
vending,chemist,venda	=	químic
trees,cherry_trees,arbres	=	cirerers
club,chess,club	=	escacs
sport,chess,esport	=	escacs
vending,chewing_gums,venda	=	xiclets
seamark:radio_station:category,chiaka,seamark:emissora de ràdio:categoria	=	Chiaka
barrier,chicane,barrera	=	crítica
traffic_calming,chicane,calmar el trànsit	=	crítica
cuisine,chicken,cuina	=	pollastre
building,chicken_coop,tipus d'edifici	=	galliner
social_facility:for,child,social_facility:per	=	nen
healthcare:speciality,child_psychiatry,sanitat:especialitat	=	psiquiatria infantil
amenity,childcare,amenitat/servei	=	cura de nens
museum,children,museu	=	nens
hazard,children,perill	=	nens
man_made,chiller,artificial	=	refredador
man_made,chimney,artificial	=	Xemeneia
seamark:landmark:category,chimney,marca:punt de referència:categoria	=	Xemeneia
landmark,chimney,punt de referència	=	Xemeneia
craft,chimney_sweeper,artesania	=	escura-xemeneies
cuisine,chinese,cuina	=	xinès
religion,chinese_folk,religió	=	folklore xinès
sport,chinlone,esport	=	barbeta
surface,chipseal,superfície	=	segell de xip
healthcare:speciality,chiropractic,sanitat:especialitat	=	quiropràctica
shop,chocolate,botiga	=	xocolata
traffic_calming,choked_island,calmar el trànsit	=	illa ofegada
traffic_calming,choked_table,calmar el trànsit	=	taula ofegada
traffic_calming,choker,calmar el trànsit	=	collaret
health_facility:MG,CHRD,centre de salut:MG	=	CRD
religion,christian,religió	=	cristià
type,chronology,tipus	=	cronologia
health_facility:MG,CHRR,centre de salut:MG	=	CHRR
health_facility:MG,CHU,centre de salut:MG	=	CHU
historic,church,històric	=	església
seamark:landmark:function,church,marca:punt de referència:funció	=	església
building,church,tipus d'edifici	=	església
landuse,churchyard,ús del sòl	=	cementiri
cuisine,churro,cuina=xurros ( xurreria )
man_made,chute_block,fet per l'home	=	bloc de rampa
building:material,CI␣sheet,material de construcció	=	full CI_
waste,cigarettes,desaprofitar	=	cigarretes
vending,cigarettes,venda	=	cigarretes
cemetery,cillín,cementiri	=	cilín
building:material,ciment_block,material de construcció	=	ciment_block
ref:opendataparis:domanialit,CIMETIERE,ref:opendataparis:domanialit	=	CIMETER
amenity,cinema,amenitat/servei	=	cinema
turning_circle,circle,cercle_de_gir cercle
political_division,circonscription_législative,divisió política	=	circumscripció legislativa
power,circuit,poder	=	circuit
switch,circuit_breaker,canviar	=	tallacircuits
power,circuit_segment,poder	=	segment de circuit
radio_transponder:category,circular,transponedor de ràdio:categoria	=	circular
junction,circular,unió	=	circular
shape,circular,shape circular
megalith_type,cist,tipus de megàlit	=	tomba
castle_type,citadel,tipus castell	=	ciutadella
genus,Citrus,gènere	=	Agris
species,Citrus␣×␣aurantium,espècies	=	Cítrics_×_aurantium
species,Citrus␣×sinensis,espècies	=	Cítrics_×sinensis
species,Citrus␣aurantium,espècies	=	Citrus_aurantium
townhall:type,city,ajuntament:tipus	=	ciutat
place,city,lloc	=	ciutat
archaeological_site,city,lloc arqueològic	=	ciutat
site_type,city,tipus de lloc	=	ciutat
border_type,city,tipus frontera	=	ciutat
map_size,city,mida_mapa ciutat
place,city_block,lloc	=	Poma de la ciutat
historic,city_gate,històric	=	porta de la ciutat
traffic_sign,city_limit,senyal de trànsit	=	límit de la ciutat
barrier,city_wall,barrera	=	Muralla
historic,city_wall,històric	=	Muralla
amenity,citymap_post,amenitat/servei	=	publicació del mapa de la ciutat
historic,citywalls,històric	=	parets de la ciutat
building,civic,tipus d'edifici	=	cívic
landuse,civic_admin,ús del sòl	=	administrador cívic
boundary,civil,Límit	=	civil
designation,civil_parish,designació	=	parròquia civil
boundary,civil_parish,Límit	=	parròquia civil
place,civil_parish,lloc	=	parròquia civil
man_made,clarifier,fet per l'home	=	clarificador
room,class,habitació	=	classe
piste:grooming,classic,pista: preparació	=	clàssic
piste:grooming,classic;skating,pista: preparació	=	clàssic; patinatge
piste:grooming,classic+skating,pista: preparació	=	patinatge+classic
building:material,clay,material de construcció	=	argila
surface,clay,superfície	=	argila
odbl,clean,odbl	=	net
craft,cleaning,artesania	=	neteja
man_made,clearcut,artificial	=	és clar
landuse,clearing,ús del sòl	=	és clar
natural,cliff,natural	=	penya-segat
sport,cliff_diving,esport	=	salt de penya-segat
LINZ:layer,cliff_edge,LINZ: capa	=	vora del penya-segat
natural,cliff/Archive/Proposal,natural	=	penya-segat/Arxiu/Proposta
sport,climbing,esport	=	escalada
sport,climbing_adventure,esport	=	escalada_aventura
playground,climbingframe,parc infantil	=	gronxador
playground,climbingwall,parc infantil	=	mur d'escalada
amenity,clinic,amenitat/servei	=	clínica
healthcare,clinic,cura de la salut	=	clínica
healthcare:speciality,clinic,especialitat:de_salut	=	clínica
building,clinic,tipus d'edifici	=	clínica
healthcare:speciality,clinical_pathology,sanitat:especialitat	=	patologia clínica
amenity,cloakroom,amenitat/servei	=	guarda-roba
amenity,clock,amenitat/servei	=	rellotge
craft,clockmaker,artesania	=	rellotger
direction,clockwise,direcció	=	agulles del rellotge
turn_to_close,clockwise,girar per tancar	=	agulles del rellotge
operational_status,closed,estat operatiu	=	tancat
operational_status_quality,closed,estat_operatiu_qualitat	=	tancat
shop,clothes,botiga	=	roba
rental,clothes,lloguer	=
wholesale,clothes,majorista	=	roba
amenity,clothes_dryer,amenitat/servei	=	assecadora de roba
social_facility,clothing_bank,instal·lació social	=	banc de roba
natural,cloud,natural	=	núvol
amenity,club,amenitat/servei	=	club
leisure,club,temps lliure	=	club
community_centre,club_home,centre Comunitari	=	casa club
leisure,club_house,temps lliure	=	casa club
amenity,clubhouse,amenitat/servei	=	casa club
golf,clubhouse,golf	=	casa club
denotation,cluster,denotació	=	grup
source:postal_code,CNEFE,font: codi_postal	=	CNEFE
source:damage:Chido,CNES / Airbus,font:danys:Chido CNES / Airbus
substance,CNG,substància	=	GNC
route,coach,ruta	=	entrenador
power_source,coal,font d'alimentació	=	carbó
generator:source,coal,generador:font	=	carbó
plant:source,coal,planta:font	=	carbó
resource,coal,recurs	=	carbó
amenity,coast_guard,amenitat/servei	=	guardacostes
emergency,coast_guard,emergència	=	guardacostes
military_service,coast_guard,servei militar	=	guardacostes
amenity,coast_radar_station,amenitat/servei	=	estació de radar costanera
radio_transponder:category,coast_radio,transponedor de ràdio:categoria	=	ràdio de la costa
seamark:type,coastguard_station,marca de mar: tipus	=	estació de guardacostes
natural,coastline,natural	=	línia costanera
telecom:medium,coaxial,telecomunicacions: mitjà	=	coaxial
surface,cobblestone,superfície	=	còdols
surface,cobblestone:flattened,superfície	=	llamborda: aplanat
sport,cockfighting,esport	=	baralla de galls
trees,coconut_palms,arbres	=	palmeres_de_coco
genus,Cocos,gènere	=	Cocos
species,Cocos nucifera,espècie Cocos nucifera
species,Cocos␣nucifera,espècies	=	Cocosnunucifera
species,Cocos␣nucifera␣L.,espècies	=	Cocos_nucifera_L.
source:addr:postcode,code-point_open,font:direcció:codi postal	=	codi-punt_obert
genus,Coffea,gènere	=	Cafè
trees,coffea_plants,arbres	=	cafe_plantes
shop,coffee,botiga	=	cafè
crop,coffee,cultiu	=	cafè
vending,coffee,venda	=	cafè
cuisine,coffee_shop,cuina	=	cafeteria
vending,coin_change_machine,venda	=	màquina de canvi de moneda
vending,coin_rolls,venda	=	rotllos de monedes
natural,col,natural	=	columna
building,collapsed,tipus d'edifici	=	col·lapsat
type,collection,tipus	=	recopilació
shop,collector,botiga	=	col·leccionista
amenity,college,amenitat/servei	=	col·lega
building,college,tipus d'edifici	=	col·lega
school:MG,collège,escola:MG	=	facultat
covered,colonnade,cobert	=	columnata
lit:perceived,colorless,encès: percebut	=	incolor
tomb,columbarium,tomba	=	palomera
man_made,column,artificial	=	columna
building:part,column,edifici: part	=	columna
indoor,column,interior	=	columna
seamark:landmark:category,column,marca:punt de referència:categoria	=	columna
advertising,column,publicitat	=	columna
species,colurna,espècies	=	columna
generator:type,combined_cycle,generador: tipus	=	cicle combinat
plant:type,combined_cycle,planta: tipus	=	cicle combinat
generator:method,combustion,generador: mètode	=	combustió
plant:method,combustion,planta:mètode	=	combustió
mechanical_driver,combustion_engine,conductor mecànic	=	motor de combustió
books,comic,llibres	=	còmic
mooring,commercial,amarrador	=	comercial
building:use,commercial,edifici:ús	=	comercial
landuse,commercial,"L'ús comercial del sòl designa zones per a activitats empresarials, comerç, oficines i desenvolupament comercial | ús del sòl	=	comercial"
message,commercial,missatge	=	comercial
type,commercial,tipus	=	comercial
building,commercial,"Un edifici comercial és una estructura utilitzada per a activitats empresarials, oficines i operacions comercials | edifici	=	comercial"
building:part,commercial,edifici:part comercial
seamark:radio_station:category,commercial_broadcast,seamark:emissora de ràdio:categoria	=	transmissió comercial
building,commercial;residential,tipus d'edifici	=	residencial comercial
designation,common,designació	=	comú
leisure,common,lleure	=	comú
shop,communication,Buscar shop=telecommunication	=	Buscar shop=telecommunication
industrial,communication,industrial	=	comunicació
tower:type,communication,torre:tipus	=	comunicació
seamark:type,communication_area,marca de mar: tipus	=	àrea de comunicació
man_made,communications_tower,artificial	=	torre_de_comunicacions
operator:type,community,operador: tipus	=	comunitat
healthcare:speciality,community,sanitat:especialitat	=	comunitat
garden:type,community,jardí:tipus comunitat
amenity,community_centre,amenitat/servei	=	centre Comunitari
building,community_group_office,tipus d'edifici	=	oficina_del_grup_comunitari
healthcare,community_health_worker,cura de la salut	=	treballador comunitari de la salut
service,commuter,Servei	=	viatger diari a la feina
surface,compacted,superfície	=	comprimit
office,company,oficina	=	empresa
man_made,compass_rose,fet per l'home	=	Rosa dels vents
substation,compensation,subestació	=	compensació
power,compensator,poder	=	compensador
coastline:survey_quality,complete,litoral: qualitat d'aixecament	=	complet
material,composite,material	=	compost
amenity,compressed_air,amenitat/servei	=	aire comprimit
substation,compression,subestació	=	compressió
shop,computer,botiga	=	ordinador
training,computer,capacitació	=	ordinador
club,computer,club	=	ordinador
prison_camp,concentration_camp,camp de presoners	=	camp de concentració
amenity,concert_hall,amenitat/servei	=	sala de concerts
theatre:type,concert_hall,teatre: tipus	=	sala de concerts
amenity,concession_stand,amenitat/servei	=	lloc de menjar
fence_type,concrete,cerca_tipus	=	formigó
building:roof,concrete,edifici: sostre	=	formigó
surface,concrete,"El formigó és un material compost dur i durador fet de ciment, àrids i aigua, utilitzat per a diverses superfícies | superfície	=	formigó"
material,concrete,material	=	formigó
building:material,concrete,material de construcció	=	formigó
wall,concrete,paret	=	formigó
wall:material,concrete,paret: material	=	formigó
product,concrete,producte	=	formigó
roof:material,concrete,sostre: material	=	formigó
sidewalk:both:surface,concrete,sidewalk:ambdós:surface concrete
building:material,concrete masonry unit,material de construcció=blocs de formigó
wall,concrete_block,paret	=	bloc de formigó
industrial,concrete_plant,industrial	=	planta formigóa
building:material,concrete_reinforced,material de construcció	=	formigó_reforçat
building:material,concrete;brick,material de construcció	=	formigó; maó
surface,concrete:lanes,superfície	=	formigó:carrils
surface,concrete:plates,superfície	=	formigó: plaques
building:material,concrete␣masonry␣unit,material de construcció	=	unitat_de_mamposteria_de_formigó
residential,condominium,Residencial	=	condomini
building,condominium,tipus d'edifici	=	condomini
vending,condoms,venda	=	condons
seamark:topmark:shape,cone,marca de mar:marca de topall:forma	=	con
seamark:topmark:shape,"cone, point up","seamark:topmark:shape cone, point up"
seamark:topmark:shape,"cone,_point_down","marca de mar:marca de topall:forma	=	con, apuntar cap avall"
seamark:topmark:shape,"cone,_point_up","marca de mar:marca de topall:forma	=	con, apuntar cap amunt"
seamark:topmark:shape,"cone,␣point␣up","marca de mar:marca de topall:forma	=	con,_punta_cap amunt"
craft,confectionery,artesania	=	confiteria
shop,confectionery,botiga	=	confiteria
amenity,conference_centre,amenitat/servei	=	centre de conferències
building:structure,confined_masonary,Estructura de construcció	=	confinat_masonari
building:structure,confined_masonry,Estructura de construcció	=	maçoneria confinada
operational_status_quality,confirmed,estat_operacional_qualitat	=	confirmat
religion,confucian,religió	=	confucià
political_division,congressional_district,divisió política	=	districte congressual
seamark:buoy_cardinal:shape,conical,marca de mar: boia cardinal: forma	=	cònic
seamark:buoy_safe_water:shape,conical,marca:boia aigua segura:forma	=	cònic
seamark:buoy_isolated_danger:shape,conical,marca:boia aïllat perill:forma	=	cònic
seamark:buoy_lateral:shape,conical,marca:boia lateral:forma	=	cònic
seamark:buoy_special_purpose:shape,conical,seamark:boia propòsit especial:forma	=	cònic
wood,coniferous,fusta	=	conífer
piste:type,connection,pista: tipus	=	connexió
power,connection,poder	=	connexió
telecom,connection_point,telecomunicacions	=	punt de connexió
type,connectivity,tipus	=	connectivitat
landuse,conservation,ús del sòl	=	conservació
denomination,conservative,denominació	=	conservador
building,conservatory,tipus d'edifici	=	conservatori
radio_transponder:category,consol,transponedor de ràdio:categoria	=	consolar
seamark:conspicuity,conspicious,marca: visibilitat	=	conspicu
seamark:conspicuity,conspicuous,marca: visibilitat	=	conspicu
seamark:landmark:conspicuity,conspicuous,marca:punt de referència:conficitat	=	conspicu
building,constructie,tipus d'edifici	=	constructiu
waterway,construction,camí aquàtic	=	construcció
highway,construction,carretera / carrer / camí / pont / autovia / autopista = en construcció o en obres impossibilitant el seu ús o rutatge
company,construction,empresa	=	construcció
railway,construction,ferrocarril	=	construcció
building,construction,tipus d'edifici	=	construcció
landuse,construction,ús del sòl	=	construcció
industrial,construction_company,industrial	=	companyia de construcció
office,construction_company,oficina	=	companyia de construcció
consulate,consular_agency,consolat	=	agència consular
consulate,consular_office,consolat	=	oficina consular
amenity,consulate,amenitat/servei	=	consolat
diplomatic,consulate,diplomàtic	=	consolat
consulate,consulate_general,consolat	=	consolat general
diplomatic,consulate_general,diplomàtic	=	consolat general
office,consulting,oficina	=	consultant
vending,contact_lenses,venda	=	lents de contacte
construction:electrified,contact_line,construcció: electrificat	=	línia_de_contacte
electrified,contact_line,electrificat	=	línia_de_contacte
proposed:electrified,contact_line,proposat: electrificat	=	línia_de_contacte
cargo,container,càrrega	=	envàs
harbour:category,container,port:categoria	=	envàs
type,container,tipus	=	envàs
building,container,tipus d'edifici = contenidor
recycling_type,container,tipus_de_reciclatge	=	envàs
railway,container_terminal,ferrocarril	=	contenidor terminal
hazard,contamination,perill	=	contaminació
border_type,contiguous,tipus frontera	=	contigu
place,continent,lloc	=	continent
todo,continue,de fer	=	Seguir
railway:rail,continuous,ferrocarril:carril	=	continu
border_type,continuous,tipus frontera	=	continu
traffic_signals,continuous_green,Senyals de trànsit	=	verd continu
tactile_paving,contrasted,paviment_tàctil contrastat
emergency,control_centre,emergència	=	centre de control
seamark:type,control_point,marca de mar: tipus	=	punt de control
shop,convenience,botiga	=	conveniència
shop,convenience;gas,botiga	=	conveniència; gas
building,convent,tipus d'edifici	=	convent
amenity,convention_centre,amenitat/servei	=	Centre de convenció
power,converter,poder	=	convertidor
substation,converter,subestació	=	convertidor
transformer,converter,transformador	=	convertidor
comment,convertido a OSM usando http://GaleNUx.com,comentari convertit a OSM utilitzant http://GaleNUx.com
comment,convertido␣a␣OSM␣usando␣http://GaleNUx.com,comentari	=	convertit_a_OSM_usant_http://GaleNUx.com
highway,conveyor,autopista	=	transportador
seamark:type,conveyor,marca de mar: tipus	=	transportador
man_made,cooling,artificial	=	refredament
basin,cooling,conca	=	refredament
tower:type,cooling,torre:tipus	=	refredament
man_made,cooling_tower,artificial	=	Torre de refredament
craft,cooper,artesania	=	coure
office,cooperative,oficina	=	cooperativa
building:material,copper,material de construcció	=	coure
roof:material,copper,sostre: material	=	coure
telecom:medium,copper,telecomunicacions: mitjà	=	coure
shop,copyshop,botiga	=	copisteria
reef,coral_reef,escull escull_de_coral
species,cordata,espècies	=	cordata
designation,core_path,designació	=	ruta principal
crop,corn,cultiu	=	blat de moro
highway,corridor,carretera	=	corredor
room,corridor,habitació	=	corredor
indoor,corridor,interior	=	corredor
genus,Corylus,gènere	=	coril
species,Corylus colurna,espècie Corylus colurna
species,Corylus␣colurna,espècies	=	Corylus_columna
species,Corymbia␣maculata,espècies	=	Corymbia_maculata
beauty,cosmetics,bellesa	=	cosmètics
shop,cosmetics,botiga	=	productes cosmètics
wholesale,cosmetics,majorista	=	cosmètics
natural,couloir,natural	=	abisme
healthcare,counselling,cura de la salut	=	assessorament
place,country,lloc	=	país
shop,country_store,botiga	=	país_botiga
place,county,lloc	=	comtat
border_type,county,tipus frontera	=	comtat
barrier,coupure,barrera	=	cupure
amenity,courier,amenitat/servei	=	missatger
office,courier,oficina	=	missatger
amenity,courthouse,amenitat/servei	=	palau de justícia
man_made,courtyard,artificial = pati | claustre
cuisine,couscous,cuina	=	cuscús
bridge,covered,pont	=	cobert
tunnel,covered,túnel	=	cobert
seamark:rock:water_level,covers,seamark:rock:water_level covers
healthcare:speciality,covid19,especialitat:de_salut	=	COVID-19 [feminine
vaccination,covid19,vacunació	=	COVID-19
office,coworking,oficina	=	treball col·laboratiu
amenity,coworking_space,amenitat/servei	=	espai de treball conjunt
building,cowshed,tipus d'edifici	=	estable
shop,craft,botiga	=	artesania
crop,cranberries,cultiu	=	nabius
man_made,crane,artificial	=	grua
seamark:type,crane,marca de mar:tipus	=	grua
handle,crank,manejar	=	maneta
archaeological_site,crannog,lloc arqueològic	=	crannog
site_type,crannog,tipus de lloc	=	crannog
genus,Crataegus,gènere	=	Crataegus
species,Crataegus␣monogyna,espècies	=	Crataegus_monogyna
natural,crater,natural	=	cràter
historic,creamery,històric	=	lleteria
amenity,crematorium,amenitat/servei	=	crematori
amenity,crematory,amenitat/servei	=	crematori
cuisine,crepe,cuina	=	crepe
natural,crevasse,natural	=	esquerda
sport,cricket,esport	=	Grill
sport,cricket_nets,esport	=	xarxes_cricket
man_made,cricket_nets,fet per l'home	=	xarxes de cricket
content,crop,contingut	=	cultiu
sport,croquet,esport	=	joc de croquet
man_made,cross,artificial	=	creu
line_management,cross,maneig de línia	=	creuar
seamark:topmark:shape,cross,marca de mar:marca de topall:forma	=	creuar
seamark:landmark:category,cross,marca:punt de referència:categoria	=	creuar
memorial,cross,monument	=	creuar
landmark,cross,punt de referència	=	creuar
athletics,cross_country,atletisme	=	a camp entremaliada
telecom,cross-connect,telecomunicacions	=	connexió creuada
mtb:type,crosscountry,mtb: tipus	=	a camp entremaliada
sport,crossfit,esport	=	crossfit
highway,crossing,carretera	=	encreuament
cycleway,crossing,carril bici	=	encreuament
railway,crossing,ferrocarril	=	encreuament
footway,crossing,senda	=	encreuament
path,crossing,sender	=	encreuament
tower:type,crossing,torre:tipus	=	encreuament
junction,crossing,unió	=	encreuament
railway,crossing_box,ferrocarril	=	caixa d'encreuament
railway,crossing_controller,ferrocarril	=	controlador d'encreuament
railway,crossover,ferrocarril	=	Transversal
service,crossover,Servei	=	Transversal
seamark:beacon_lateral:category,crossover_left,marca:balisa lateral:categoria	=	creuat a l'esquerra
seamark:beacon_lateral:category,crossover_right,marca:balisa lateral:categoria	=	encreuament dret
amenity,crucifix,amenitat/servei	=	crucifix
mooring,cruise,amarrador	=	creuer
seaway,cruise_port,via marítima	=	port de creuers
amenity,crypt,amenitat/servei	=	cripta
tomb,crypt,tomba	=	cripta
species,Cryptomeria␣japonica,espècies	=	Cryptomeria_japonica
health_facility:MG,CSB1,centre de salut:MG	=	CSB1
health_facility:MG,CSB2,centre de salut:MG	=	CSB2
source:data,cugir.library.cornell.edu & gis.ny.gov/gisdata,font:dades cugir.library.cornell.edu i gis.ny.gov/gisdata
source:data,cugir.library.cornell.edu␣&␣gis.ny.gov/gisdata,dades font	=	cugir.library.cornell.edu_&_gis.ny.gov/gisdata
government,culture,govern	=	cultura
amenity,culture_center,amenitat/servei	=	Centre cultural
tunnel,culvert,túnel	=	claveguera
genus,Cupressus,gènere	=	cuprès
species,Cupressus sempervirens,espècie Cupressus sempervirens
species,Cupressus␣sempervirens,espècies	=	Cupressus_sempervirens
barrier,curb,barrera	=	frenar
sport,curling,esport	=	curling
cuisine,curry,cuina	=	curri
shop,curtain,botiga	=	cortina
hazard,curve,perill	=	corba
hazard,curves,perill	=	corbes
naptan:BusStopType,CUS,naptan:BusStopType	=	EE.UU.
traffic_calming,cushion,calmar el trànsit	=	coixí
car:parts,custom,peces d'automòbil	=	disfressa
motorcycle_friendly,customary,apte per a motocicletes	=	acostumat
access,customers,accés	=	clients
bicycle,customers,bicicleta	=	clients
internet_access:fee,customers,internet_access:tarifa	=	clients
toilets:access,customers,lavabos:accés	=
foot,customers,peu	=	clients
parking_space,customers,plaça d'aparcament	=	clients
vehicle,customers,vehicle	=	clients
motor_vehicle,customers,Vehicle de motor	=	clients
amenity,customs,amenitat/servei	=	duanes
government,customs,govern	=	duanes
survey_point:structure,cut,punt d'enquesta: estructura	=	Tall
man_made,cut_line,fet per l'home	=	línia de tall
man_made,cutline,artificial	=	línia de tall
source:addr,cuzk:ruian,font: direcció	=	cuzk:ruian
sport,cycle_ball,esport	=	bola de cicle
barrier,cycle_barrier,barrera	=	cicle_barrera
cycle_network,cycle_highway,xarxa de bicicletes	=	ciclovia
sport,cycle_polo,esport	=	pol ciclista
construction,cycleway,construcció	=	carril bici
highway,cycleway,"Un carril bici és una carretera o camí específicament designat per al trànsit de bicicletes, separat dels carrils de vehicles motoritzats | carretera	=	carril bici"
area:highway,cycleway,zona:carretera	=	carril bici
highway,cycleway_link,autopista	=	enllaç de carril bici
sport,cycling,esport	=	ciclisme
hazard,cyclists,perill	=	ciclistes
seamark:topmark:shape,cylinder,marca de mar:marca de topall:forma	=	cilindre
light:shape,cylindrical,llum:forma	=	cilíndric
maxspeed,CZ:urban,màxima velocitat	=	CZ:urbà
maxspeed:type,CZ:urban,velocitat màxima:tipus CZ:urbà
source:maxspeed,CZ:urban,font:velocitat màxima CZ:urban
barrier,czech_hedgehog,barrera	=	eriçó txec
tank_trap,czech_hedgehog,trampa de tanc	=	eriçó txec
bmo:type,D,bmo: tipus	=	D
railway:track_class,D3,ferrocarril:classe_via D3
railway:track_class,D4,ferrocarril: track_class	=	D4
species,dactylifera,espècies	=	dactilolifera
source:description,dadosabertos.cm-lisboa.pt,font:descripció dadosabertos.cm-lisboa.pt
shop,dairy,botiga	=	lactis
waterway,dam,camí aquàtic	=	presa
seamark:type,dam,marca de mar: tipus	=	represa
building,dam,tipus d'edifici	=	represa
building,damaged,tipus d'edifici	=	danyat
hazard,damaged_road,perill	=	camí danyat
wetland,dambo,aiguamoll	=	dambo
leisure,dance,temps lliure	=	ballar
sport,dancing,esport	=	ball
leisure,dancing,temps lliure	=	ball
amenity,dancing_school,amenitat/servei	=	escola de ball
military,danger_area,militar	=	perill_àrea
seamark:beacon_lateral:category,danger_left,marca:balisa lateral:categoria	=	perill deixat
seamark:buoy_lateral:category,danger_left,marca:boia lateral:categoria	=	perill deixat
seamark:beacon_lateral:category,danger_right,marca:balisa lateral:categoria	=	perill dret
seamark:buoy_lateral:category,danger_right,marca:boia lateral:categoria	=	perill dret
seamark:wreck:category,dangerous,marca:naufragi:categoria	=	perillós
hazard,dangerous_junction,perill	=	encreuament perillós
sport,darts,esport	=	dards
road_marking,dash,marcació_carretera guió
road_marking,dashed_crossing_edge,marcació_carretera vora_d'encreuament_disconegut
road_marking,dashed_give_way_line,marcació_carretera línia_de_cessió_de_pas discontinua
crossing:markings,dashes,creuament:marques guions
telecom,data_center,telecomunicacions	=	centre de dades
building,data_center,tipus d'edifici	=	centre de dades
industrial,data_centre,industrial	=	centre de dades
telecom,data_centre,telecomunicacions	=	centre de dades
building,data_centre,tipus d'edifici	=	centre de dades
government,data_protection,govern	=	protecció de Dades
source:heritage,"data.gouv.fr, Ministère de la Culture - 2016","font:heritage data.gouv.fr, Ministeri de Cultura - 2016"
source:heritage,"data.gouv.fr,␣Ministère␣de␣la␣Culture␣-␣2016","font: herència	=	data.gouv.fr,_Ministère_de_la_Culture_-_2016"
source:name,data.gov.au,font:name data.sa.gov.au
source:name,data.sa.gov.au,font:nom GA Surface Hydro
